organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
WeKanCode,01c04deb-18a8-3fde-142b-dbd80d56ead1,Sathya Nellore Sampat,https://www.linkedin.com/in/sathyanarayanaa/,1,0
DroneBase,04e76176-e151-ee6c-df29-926ce7c8e247,Daniel Burton,https://www.linkedin.com/in/daniel-burton-28711789,1,0
Vertify,07d62a0f-65e8-4f52-a5d6-1cd35ca610df,Matt Klepac,https://www.linkedin.com/in/matthew-klepac-mirabella-9206b825/,1,0
Fullbridge,0a1b0ccf-a7d7-108b-e64c-a08e2b0d8a0e,Peter Olson,http://www.linkedin.com/pub/peter-olson/b/537/732,1,0
Wurk,0b5c1058-a7d5-6a1c-b850-b414aad8b0b7,Keegan Peterson,https://www.linkedin.com/in/keeganpeterson,1,0
GoFormz,0d89990e-dadb-ab09-bcea-6f5142de7725,Jeff Fildey,http://www.linkedin.com/pub/jeffrey-fildey/0/267/67a,1,0
Turvo,0ea1155b-ea47-8bd0-e96f-94a7f20fa705,Jeff Dangelo,https://www.linkedin.com/in/jeff-dangelo-8a7107a/,1,0
TreeHouse,14ff884d-e458-8404-0eb5-2aa3a8524b99,Alan Johnson,https://www.linkedin.com/in/alan-johnson-246239155/,1,0
Pana,194ea37b-6b6e-b54a-82bf-765ef186bc41,Lianne Haug Espeland,https://www.linkedin.com/in/lianne-espeland-19189956,1,0
Clover Health,218bda65-0c8c-3bb9-30b5-0c001d41a6f0,Kris Gale,https://www.linkedin.com/in/kgale/,1,0
Call9,2250c61a-04b8-7e16-680f-72e2c97a888d,Celina Tenev,https://www.linkedin.com/in/celina-tenev-5781745b,1,0
Socure,294b7d8a-e8ec-ef88-da4c-9d8764415e46,Johnny Ayers,http://www.linkedin.com/in/johnayers1,1,0
Atlas,2beb8fa0-f13a-c796-6a16-3a2efc072d5b,Peter Li,https://www.linkedin.com/in/petercli89,1,0
NeighborSchools,2c73f15d-79bd-4320-85d9-f3abb48edf86,Cedric McDougal,https://www.linkedin.com/in/cedric-mcdougal-he-him-2b99021a,1,0
Opus Bank,2e25001f-efc8-ef4e-5dbb-6c5f040c3f2a,Stephen Gordon,https://www.linkedin.com/in/stephen-h-gordon-7740ab167,1,0
LumiraDx,36481767-e428-9601-0b87-14d274c82eda,Sumit Nagpal,https://www.linkedin.com/in/sumitkn,1,0
Shipwell,366d26c4-7589-58f3-451f-eb8b760c4964,David Chou,https://www.linkedin.com/in/david-chou-51921a37/,1,0
leadPops,36ba4672-9a2a-9961-dadc-6ce50cbfd385,Robert Shuey,https://www.linkedin.com/in/shuey-robert-86167651,1,0
Panorama Education,3dd712f8-0f6d-2a6e-a007-4f503cc823b0,Alexander Tanner,https://www.linkedin.com/in/xantanner/,1,0
Panorama Education,3dd712f8-0f6d-2a6e-a007-4f503cc823b0,David Carel,http://www.linkedin.com/pub/david-carel/76/abb/270,1,0
WanderJaunt,3fe1f92a-3969-59d0-148c-9d73ad9af3fb,Barrett Glasauer,https://www.linkedin.com/in/barrett-glasauer-91a8844a/,1,0
IndraStra Global,41079401-21eb-247a-40bc-330f77eb6331,Amrita Jash,https://in.linkedin.com/in/amrita-jash-27358270,1,0
Distractify,41307c5b-b3e6-6cb1-2ebb-353fa64cd079,Quinn Hu,http://www.linkedin.com/pub/quinn-hu/61/417/641,1,0
Stryde,4168ae05-1743-b7d7-03d9-947d420f0cce,Kirk Green,http://www.linkedin.com/in/kirkgreen01,1,0
Freight Farms,4447ccfe-311d-3487-06c5-427bfb7b2df5,Brad McNamara,http://www.linkedin.com/in/carfreebrad,1,0
The Daily Caller,4a5be90d-fb3b-9fa5-9a4d-626ba24cf7e5,khiladi poswal,https://www.linkedin.com/in/khiladi-gurjar-732aaa178,1,0
Clickdaily,4be266d6-35c2-0237-891a-ebf66ad1f9a3,Michael LaMonica,https://www.linkedin.com/in/mike-la-monica-34562b27/,1,0
Shape Security,4dd0c258-edc0-795c-905a-024aba9668ec,Justin Call,http://www.linkedin.com/in/jstnc,1,0
Buoy Health,502542b2-2779-f701-7e1c-521ca5711b8b,Eddie Reyes,https://www.linkedin.com/in/eddie-reyes/,1,0
Bellabeat,5a690501-7235-c64c-f7f6-46633f697ad5,Sandro Mur,https://hr.linkedin.com/in/sandromur,1,0
Engage PEO,5b2fab72-0d83-417f-abd4-e6fff0db9ea2,Midge Seltzer,https://www.linkedin.com/in/midge-seltzer-049b79ab/,1,0
YAC,5c0b8319-5334-45b8-baa2-dad7b289180e,Hunter McKinley,https://linkedin.com/in/huntermckinley,1,0
Blavity,5df7b3c7-d0f4-2ff1-b7ad-74c67706cd2f,Jeff Nelson,https://www.linkedin.com/in/jtnelson1,1,0
Walinns Innovation,5f87cad3-f70e-4f46-ba1c-2047bf289dd4,Shiva Kumar,http://www.linkedin.com/in/kumarshiv89,1,0
Aki Technologies,5fcf9aa8-7707-6e5f-ca80-2e84325f86c0,Scott Swanson,http://www.linkedin.com/in/scottswanson77,1,0
F50,644a9de4-9318-bcb2-9591-6f20a6af36e8,Martin Stroka,https://www.linkedin.com/in/martinstroka/,1,0
Workgeni.us,6586b979-e619-cf7f-9a6d-59b6beb70bae,Bjorn Wanbo,http://www.linkedin.com/in/bwanbo,1,0
The Flex Company,66c83332-9f60-7a3f-d209-42487feed121,Erika Jensen,https://www.linkedin.com/in/erika-jensen-06598260/,1,0
Sosh,6777f600-d244-0bb9-84c9-ecf043dfa2d0,Rod Begbie,http://www.linkedin.com/in/cluefulsoftwareengineer,1,0
Ship Sticks,684722a3-5ba2-4204-2453-1748b126c7bf,Jonathan Marsico,https://www.linkedin.com/in/jonathanmarsico,1,0
Metric Theory,6cac9e1d-34ed-4948-95d9-94e3fa9ba65c,Ken Baker,https://www.linkedin.com/in/ken-baker-758bbab/,1,0
Cresco Labs,70c12ec5-2e02-4c9e-3d9a-1b971689851a,Joe Caltabiano,https://www.linkedin.com/in/crescojoe/,1,0
Phobio,73b861b1-ebf4-4f4d-a3d8-597d30ea5eab,Andrew Yeaton,https://www.linkedin.com/in/xeeton/,1,0
Startup Grind,76520fb3-88fd-3780-c330-346ee795fa74,Casper Sermsuksan,http://www.linkedin.com/in/casperisto,1,0
Almabase,7fb0f6f1-685b-cc63-f666-f123aa18b7ec,Srihari Maneru,http://in.linkedin.com/in/sriharimaneru/en,1,0
Plume Design,80c72b90-17e6-bc73-579d-4e12d9768bed,Sri Nathan,https://www.linkedin.com/in/nathansri1,1,0
Givelify,81ef8e23-84bd-382e-0552-0f03e2a24da2,Tayo Ademuyiwa,https://www.linkedin.com/in/tayo-ademuyiwa-md-345923187,1,0
Pavilion,8403a15c-8030-429b-6fa0-160cb606c1ab,Brendan Duhamel,http://www.linkedin.com/pub/brendan-duhamel/98/3b6/4ba,1,0
Pinterest,8f83e283-e00b-8101-d79b-bf2dd6914d6e,Evan Sharp,https://www.linkedin.com/in/evsharp,1,0
Fity Social Media,9d6e090e-1f1a-f3b2-6627-ed12ac96b71c,Matthew Pattoli,https://www.linkedin.com/in/matthewpattoli,1,0
"ROBOTERRA, Inc",9e880aa5-4488-2755-fbb3-e9dd75222b59,Chen Bai,https://www.linkedin.com/in/bcmsbond/,1,0
AcadGild,a4a51c28-fd19-2a99-38c1-ce188ae9bd16,Vinod K. Dham,https://www.linkedin.com/in/vinod-dham-b07a7935,1,0
Onerent,a5092351-7e9b-1988-6283-3fea389ce2a2,Evan Huang,http://www.linkedin.com/pub/evan-huang/44/6a1/99a,1,0
Pave,a58bea81-faa3-5a29-b99c-ed112a9dde41,Matt Schulman,https://www.linkedin.com/in/matthew-schulman-15911861/,1,0
White Ops,a731e22b-7f9d-1bd1-97f1-51f6b105c441,Dan Kaminsky,http://www.linkedin.com/pub/dan-kaminsky/0/614/532,1,0
AdmitSee,aa3a7eb2-7e83-4ca5-c975-643d8fbc0070,Lydia Fayal,https://www.linkedin.com/in/lydiafayal,1,0
M8,ab42d91e-e6ec-b79e-90ca-03401311b3d2,Stephen Liu,http://www.linkedin.com/in/stephenchristopherliu,1,0
GCR,b1722a89-20ff-0906-21e6-adb5243351c5,Vladimir Hruda,https://www.linkedin.com/in/vladimir-hruda-1939502/,1,0
Optimus Ride,b17faa29-4d77-1608-e736-c8f54d0c6a48,Ramiro Almeida,https://www.linkedin.com/in/ramiro-almeida-7975b363,1,0
Qwick,bcbfa05c-d216-4a0e-b34a-1902e77ca06e,Chris Loeffler,https://www.linkedin.com/in/chrisloefflerii,1,0
Xapo,bd37bb60-a0a0-09f9-aa69-4d430de4028b,Thong Ngo,https://www.linkedin.com/,1,0
Xapo,bd37bb60-a0a0-09f9-aa69-4d430de4028b,Wensceslao Casares,https://www.linkedin.com/in/wencesc/,1,0
